#Sacramento River at Emmaton (RSAC092)
location,wyt,month,date,val
RSAC092,W,10,1,0.
RSAC092,W,4,1,0.45
RSAC092,W,8,16,0.
RSAC092,AN,10,1,0.
RSAC092,AN,4,1,0.45
RSAC092,AN,7,2,0.63
RSAC092,AN,8,16,0.
RSAC092,BN,10,1,0.
RSAC092,BN,4,1,0.45
RSAC092,BN,6,21,1.14
RSAC092,BN,8,16,0.
RSAC092,D,10,1,0.
RSAC092,D,4,1,0.45
RSAC092,D,6,16,1.67
RSAC092,D,8,16,0.
RSAC092,C,10,1,0.
RSAC092,C,4,1,2.78
RSAC092,C,8,16,0.
# San Joaquin River at Jersey Point (RSAN018)
RSAN018,W,10,1,0.
RSAN018,W,4,1,0.45
RSAN018,W,8,16,0.
RSAN018,AN,10,1,0.
RSAN018,AN,4,1,0.45
RSAN018,AN,8,16,0.
RSAN018,BN,10,1,0.
RSAN018,BN,4,1,0.45
RSAN018,BN,6,21,0.74
RSAN018,BN,8,16,0
RSAN018,D,10,1,0.
RSAN018,D,4,1,0.45
RSAN018,D,6,16,1.35
RSAN018,D,8,16,0.
RSAN018,C,10,1,0.
RSAN018,C,4,1,2.20
RSAN018,C,8,16,0.
#South Fork Mokelumne River at Terminous (RSMKL08)
RSMKL008,W,10,1,0.
RSMKL008,W,4,1,0.45
RSMKL008,W,8,16,0.
RSMKL008,AN,10,1,0.
RSMKL008,AN,4,1,0.45
RSMKL008,AN,8,16,0.
RSMKL008,BN,10,1,0.
RSMKL008,BN,4,1,0.45
RSMKL008,BN,8,16,0.
RSMKL008,D,10,1,0.
RSMKL008,D,4,1,0.45
RSMKL008,D,8,16,0.
RSMKL008,C,10,1,0.
RSMKL008,C,4,1,0.54
RSMKL008,C,8,16,0.
#San Joaquin River at San Andreas Landing (RSAN032)
RSAN032,W,10,1,0.
RSAN032,W,4,1,0.45
RSAN032,W,8,16,0.
RSAN032,AN,10,1,0.
RSAN032,AN,4,1,0.45
RSAN032,AN,8,16,0.
RSAN032,BN,10,1,0.
RSAN032,BN,4,1,0.45
RSAN032,BN,8,16,0.
RSAN032,D,10,1,0.
RSAN032,D,4,1,0.45
RSAN032,D,6,26,0.58
RSAN032,D,8,16,0.
RSAN032,C,10,1,0.
RSAN032,C,4,1,0.87
RSAN032,C,8,16,0.
#Southern Delta (RSAN112, RSAN073, ROLD069, ROLD059)
SOUTH,W,10,1,1.0
SOUTH,W,4,1,0.7
SOUTH,W,9,1,1.00
SOUTH,AN,10,1,1.0
SOUTH,AN,4,1,0.7
SOUTH,AN,9,1,1.00
SOUTH,BN,10,1,1.0
SOUTH,BN,4,1,0.7
SOUTH,BN,9,1,1.00
SOUTH,D,10,1,1.0
SOUTH,D,4,1,0.7
SOUTH,D,9,1,1.00
SOUTH,C,10,1,1.0
SOUTH,C,4,1,0.7
SOUTH,C,9,1,1.00
#Export Area (CHWST0,CHDMC004)
EXPORT,W,10,1,1.00
EXPORT,AN,10,1,1.00
EXPORT,BN,10,1,1.00
EXPORT,D,10,1,1.00
EXPORT,C,10,1,1.00
